ID	COLNR	DATE	LongD	LongM	LongS	LongH	LatD	LatM	LatS	LatH	SPECIES	SCODE_NEW	SUB_NEW	SP_ID	COUNTRY	ADM1	ADM2	LOCALITY	PLRV1	PLRV2	FROST
55	OKA 3901	19710405	65	45	0	W	22	8	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	Tafna.	R	R	100
16	OKA 3920	19710406	66	6	0	W	21	53	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	10 km W of Santa Catalina.	S	R	100
204	HOF 1848	19710305	65	5	0	W	22	16	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Santa Victoria	53 km E of Cajas.	S	R	100
545	OKA 4015	19710411	66	15	0	W	22	32	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Rinconada	"Near Abra de Fundiciones, 10 km S of Rinconada."	S	R	100
549	OKA 4026	19710411	66	12	0	W	22	30	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Rinconada	8 km SW of Fundiciones.	S	R	100
551	OKA 4030A	19710411	66	12	0	W	22	28	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Rinconada	"Salveayoc, 5 km SW of Rinconada."	S	R	100
10	OKA 3908	19710405	66	7	0	W	21	53	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	"San Francisco, 12 km W of Santa Catalina."		R	100
19	OKA 3923	19710406	66	6	0	W	21	53	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	10 km W of Santa Catalina.		R	100
210	HOF 2077	19710328	65	3	0	W	22	12	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Santa Victoria	Pampa Larga.		R	100
223	HOF 2039	19710326	65	0	0	W	22	9	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Santa Victoria	"Cerro Bola, up from Santa Cruz."		R	100
561	OKA 3944	19710407	66	11	0	W	21	53	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	"El Angosto, 34 km W of Santa Catalina."		R	100
562	OKA 3968	19710407	66	11	0	W	21	53	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	"El Angosto, 34km W of Santa Catalina."		R	100
8	OKA 3687	19710219	66	7	0	W	21	53	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	12 km W of Santa Catalina.		R	
40	OKA 3784	19710224	65	52	0	W	25	8	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Chicoana	"On the way to Valle Encantado, (km 61 on route 59)."		R	
9	OKA 3718	19710220	66	7	0	W	21	53	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	"12 km W of Santa Catalina, San Francisco."	R	S	100
24	HHA 6611	19800315	66	3	0	W	17	14	0	S	S. acaule Bitter	acl	ACL	1	BOLIVIA	Cochabamba	Chapare	Chapare.  34 km from Tranca de Sacaba on the road to Palca.	R	S	100
31	HOF 1685	19700101	65	58	0	W	22	50	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Cochinoca	Las Doncellas.	R	S	100
72	OCH 11979	19780319	65	43	0	W	21	20	0	S	S. acaule Bitter	acl	ACL	1	BOLIVIA	Potosi	Sud Chichas	Aviles.  San Miguel.	R	S	100
90	HOF 1584	19700101	65	38	0	W	23	57	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Capital	Molinos.	R	S	100
105	HOF 1841	19710305	65	28	0	W	22	7	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	Near El Angosto.	R	S	100
240	HOF 1925	19710310	64	52	0	W	22	17	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Santa Victoria	"Abra de Meson, El Meson ."	R	S	100
362	COR P.180	19580221	70	31	0	W	15	41	0	S	S. acaule Bitter	acl	ACL	1	PERU	Puno	Lampa	Maravillas	R	S	100
494	OCH 11917a	19780300	67	13	48	W	16	57	0	S	S. acaule Bitter	acl		1	BOLIVIA	La Paz	Inquisive	Near Tablachaca in route from Quime to Eucaliptus via Colcha.	R	S	100
96	HOF 1591	19700101	65	35	0	W	23	55	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Tumbaya	Abra de Chilcayos.	R	S	
563	OKA 4005	19710408	66	11	0	W	22	27	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Rinconada	Rinconada.	R	S	
122	HOF 1614	19700101	65	25	0	W	22	15	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	Chalguamayo.	R*	S	100
